Gene	CC_1	CC_2	CC_3	CI_1	CI_2	CI_3	SC_1	SC_2	SI_1	SI_2	SI_3	Symbol	Chromosome	Genetype	Description
ENSMUSG00000036430.7	8.4	6.87	7.58	5.81	7.26	7.36	6.26	7.28	6.46	6.3	8.17	Tbcc	chr17	protein_coding	tubulin-specific chaperone C
ENSMUSG00000089701.1	0.0	0.0	0.0	0.0	0.0	0.05	0.06	0.1	0.0	0.1	0.0	Gm15978	chr17	antisense	predicted gene 15978
ENSMUSG00000033768.14	1.05	0.68	0.76	0.66	0.77	0.77	0.64	1.0	0.8	0.75	0.95	Nrxn2	chr19	protein_coding	neurexin II
ENSMUSG00000098206.1	0.07	0.02	0.05	0.01	0.02	0.01	0.03	0.02	0.0	0.01	0.0	A430106G13Rik	chr1	lincRNA	RIKEN cDNA A430106G13 gene
ENSMUSG00000098090.5	0.18	0.2	0.12	0.16	0.1	0.11	0.08	0.07	0.1	0.13	0.14	2700099C18Rik	chr17	transcribed_unprocessed_pseudogene	RIKEN cDNA 2700099C18 gene
ENSMUSG00000037347.7	2.44	2.27	2.14	1.23	2.08	3.12	1.72	2.07	3.49	2.09	2.57	Chst7	chrX	protein_coding	carbohydrate (N-acetylglucosamino) sulfotransferase 7
ENSMUSG00000104026.1	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.0	Gm37212	chr1	TEC	predicted gene, 37212
ENSMUSG00000055799.11	4.44	4.83	4.3	3.68	3.89	3.59	4.78	3.79	5.63	4.75	4.08	Tcf7l1	chr6	protein_coding	transcription factor 7 like 1 (T cell specific, HMG box)
ENSMUSG00000023505.11	0.1	0.32	0.26	0.14	0.21	0.11	0.22	0.19	0.25	0.14	0.53	Cdca3	chr6	protein_coding	cell division cycle associated 3
ENSMUSG00000106968.1	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	RP23-276J7.2	chr5	lincRNA	--
ENSMUSG00000061371.6	0.26	0.78	0.78	0.51	0.33	0.74	0.59	0.77	0.42	0.54	0.53	Zfp873	chr10	protein_coding	zinc finger protein 873
ENSMUSG00000038354.11	0.74	1.07	0.6	0.64	0.49	0.57	0.58	0.54	0.24	0.42	0.42	Ankrd35	chr3	protein_coding	ankyrin repeat domain 35
ENSMUSG00000092243.6	0.0	0.05	0.05	0.05	0.04	0.12	0.0	0.12	0.04	0.11	0.04	Gm7030	chr17	protein_coding	predicted gene 7030
ENSMUSG00000031820.8	24.96	25.55	25.38	22.86	24.45	23.91	25.36	24.45	22.52	24.63	26.75	Babam1	chr8	protein_coding	BRISC and BRCA1 A complex member 1
ENSMUSG00000020823.14	24.71	28.53	23.31	15.15	20.87	21.9	19.53	21.48	17.75	23.04	23.69	Sec14l1	chr11	protein_coding	SEC14-like 1 (S. cerevisiae)
ENSMUSG00000020272.8	3.56	3.7	3.16	2.52	3.12	3.3	3.88	3.62	2.76	3.14	4.48	Stk10	chr11	protein_coding	serine/threonine kinase 10
ENSMUSG00000058883.12	0.62	0.64	0.85	0.45	0.13	0.53	0.51	1.05	0.2	0.39	0.33	Zfp708	chr13	protein_coding	zinc finger protein 708
ENSMUSG00000031985.7	51.95	61.05	58.03	62.64	53.86	57.64	70.8	59.46	55.81	57.85	61.21	Gnpat	chr8	protein_coding	glyceronephosphate O-acyltransferase
ENSMUSG00000040627.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.03	0.0	Aicda	chr6	protein_coding	activation-induced cytidine deaminase
ENSMUSG00000047473.12	1.79	1.79	2.03	1.6	1.19	1.79	2.21	2.47	1.57	1.25	1.38	Zfp30	chr7	protein_coding	zinc finger protein 30
ENSMUSG00000083364.4	0.13	0.11	0.13	0.0	0.1	0.38	0.11	0.59	0.21	0.36	0.31	Llph-ps2	chrX	processed_pseudogene	LLP homolog, pseudogene 2
ENSMUSG00000097237.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	Gm26519	chr5	lincRNA	predicted gene, 26519
ENSMUSG00000083599.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	Gm12821	chr4	processed_pseudogene	predicted gene 12821
ENSMUSG00000098412.1	0.0	0.14	0.17	0.0	0.07	0.18	0.0	0.06	0.2	0.06	0.13	Gm7870	chr9	processed_pseudogene	predicted gene 7870
ENSMUSG00000071506.3	0.04	0.04	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.03	0.0	Tmem139	chr6	protein_coding	transmembrane protein 139
ENSMUSG00000102539.1	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Gm37229	chr3	antisense	predicted gene, 37229
ENSMUSG00000020385.14	10.63	9.7	10.51	10.2	13.59	11.3	9.12	15.27	9.6	15.27	10.86	Clk4	chr11	protein_coding	CDC like kinase 4
ENSMUSG00000066151.9	2.99	3.59	3.12	2.65	2.44	2.7	3.52	2.94	2.86	3.06	3.18	Fkbp15	chr4	protein_coding	FK506 binding protein 15
ENSMUSG00000104077.1	0.39	0.33	0.6	0.18	0.32	0.0	0.5	0.9	0.65	0.41	0.0	Gm37027	chr1	lincRNA	predicted gene, 37027
ENSMUSG00000099338.1	0.0	0.04	0.05	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.04	2810030D12Rik	chr8	lincRNA	RIKEN cDNA 2810030D12 gene
ENSMUSG00000055555.1	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4930502E18Rik	chrX	protein_coding	RIKEN cDNA 4930502E18 gene
ENSMUSG00000030699.14	0.74	0.3	0.45	0.23	0.14	0.23	0.26	0.7	0.3	0.33	0.22	Tbx6	chr7	protein_coding	T-box 6
ENSMUSG00000084048.1	0.33	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	Gm12042	chr11	processed_pseudogene	predicted gene 12042
ENSMUSG00000094487.1	0.23	0.06	0.08	0.07	0.06	0.0	0.13	0.24	0.13	0.05	0.0	Gm21958	chr3	protein_coding	predicted gene, 21958
ENSMUSG00000045316.4	39.56	39.01	41.07	39.84	33.33	36.56	47.09	39.17	35.71	33.51	38.39	Fahd1	chr17	protein_coding	fumarylacetoacetate hydrolase domain containing 1
ENSMUSG00000020308.5	15.14	18.03	15.0	9.98	12.72	13.56	10.82	14.35	13.97	13.64	15.54	Tpgs1	chr10	protein_coding	tubulin polyglutamylase complex subunit 1
ENSMUSG00000037990.16	0.11	0.25	0.17	0.13	0.1	0.33	0.21	0.22	0.3	0.12	0.19	Sh3rf3	chr10	protein_coding	SH3 domain containing ring finger 3
ENSMUSG00000107389.1	0.0	0.0	0.18	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	RP23-8L20.8	chr6	processed_pseudogene	--
ENSMUSG00000019326.12	5.08	5.72	4.22	2.77	3.75	5.07	4.72	4.45	3.54	4.2	5.49	Aoc3	chr11	protein_coding	amine oxidase, copper containing 3
ENSMUSG00000085411.1	0.0	0.06	0.07	0.13	0.0	0.05	0.0	0.11	0.06	0.05	0.06	Gm14319	chr2	lincRNA	predicted gene 14319
ENSMUSG00000085499.1	0.03	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	Gm15713	chr16	lincRNA	predicted gene 15713
ENSMUSG00000024533.13	1.1	1.64	1.05	0.84	1.28	1.11	1.58	1.3	0.97	1.13	1.33	Spire1	chr18	protein_coding	spire homolog 1 (Drosophila)
ENSMUSG00000097533.1	1.78	2.34	1.79	2.24	1.83	2.23	1.91	2.07	1.78	2.07	2.46	Gm26590	chr14	lincRNA	predicted gene, 26590
ENSMUSG00000016427.7	882.28	562.58	573.51	580.76	581.11	563.33	542.58	589.52	553.47	535.29	586.9	Ndufa1	chrX	protein_coding	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 1
ENSMUSG00000086361.1	0.06	0.1	0.06	0.11	0.0	0.14	0.0	0.09	0.1	0.0	0.15	Gm6569	chr15	protein_coding	predicted gene 6569
ENSMUSG00000030826.15	49.86	39.92	45.08	41.29	42.4	38.29	52.04	44.15	49.06	41.62	42.5	Bcat2	chr7	protein_coding	branched chain aminotransferase 2, mitochondrial
ENSMUSG00000046658.14	1.3	1.36	1.34	1.43	1.11	1.15	1.69	1.58	2.02	1.05	1.15	Zfp316	chr5	protein_coding	zinc finger protein 316
ENSMUSG00000103009.1	1.01	0.95	0.89	1.0	1.16	1.56	0.92	1.03	0.92	0.83	1.84	Gm4430	chr2	TEC	predicted gene 4430
ENSMUSG00000042831.11	14.86	14.69	13.92	12.74	14.51	12.95	12.96	13.2	13.35	12.1	14.43	Alkbh6	chr7	protein_coding	alkB, alkylation repair homolog 6 (E. coli)
ENSMUSG00000031936.9	0.01	0.01	0.0	0.0	0.0	0.03	0.0	0.05	0.01	0.01	0.01	Hephl1	chr9	protein_coding	hephaestin-like 1
ENSMUSG00000034212.11	0.02	0.01	0.0	0.03	0.01	0.0	0.05	0.01	0.04	0.01	0.0	Ankmy1	chr1	protein_coding	ankyrin repeat and MYND domain containing 1
ENSMUSG00000026385.14	109.25	91.03	103.75	120.29	94.99	95.85	97.25	103.13	89.59	95.27	99.21	Dbi	chr1	protein_coding	diazepam binding inhibitor
ENSMUSG00000104078.1	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Gm37023	chr9	TEC	predicted gene, 37023
ENSMUSG00000105622.1	0.11	0.0	0.06	0.2	0.11	0.12	0.07	0.02	0.05	0.21	0.09	RP23-385G21.3	chr5	TEC	--
ENSMUSG00000029319.7	51.51	55.84	54.32	51.26	51.43	54.13	59.19	56.95	53.24	50.95	55.51	Coq2	chr5	protein_coding	coenzyme Q2 homolog, prenyltransferase (yeast)
ENSMUSG00000020623.9	0.73	1.48	1.04	1.34	1.03	0.72	1.06	0.76	1.38	1.26	1.04	Map2k6	chr11	protein_coding	mitogen-activated protein kinase kinase 6
ENSMUSG00000096959.1	0.02	0.02	0.0	0.04	0.03	0.03	0.02	0.02	0.05	0.03	0.06	4930509G22Rik	chr16	lincRNA	RIKEN cDNA 4930509G22 gene
ENSMUSG00000029322.10	0.07	0.12	0.18	0.2	0.06	0.16	0.49	0.16	0.12	0.13	0.06	Plac8	chr5	protein_coding	placenta-specific 8
ENSMUSG00000075312.4	0.39	0.9	0.27	0.49	0.44	0.59	0.46	0.31	0.33	0.47	1.07	Gm13597	chr2	processed_pseudogene	predicted gene 13597
ENSMUSG00000029925.11	0.76	0.81	1.11	0.76	0.95	0.62	0.5	0.74	0.55	0.99	0.79	Tbxas1	chr6	protein_coding	thromboxane A synthase 1, platelet
ENSMUSG00000030201.13	4.38	6.35	5.49	5.21	4.77	4.87	6.37	6.41	5.78	5.81	5.3	Lrp6	chr6	protein_coding	low density lipoprotein receptor-related protein 6
ENSMUSG00000078700.8	1.0	1.03	0.8	0.95	0.75	0.61	1.3	0.89	1.11	0.76	0.76	D030028A08Rik	chr11	processed_transcript	RIKEN cDNA D030028A08 gene
ENSMUSG00000038831.14	0.98	0.99	0.9	0.7	0.83	0.6	1.06	0.82	0.87	0.84	1.15	Ralgps1	chr2	protein_coding	Ral GEF with PH domain and SH3 binding motif 1
ENSMUSG00000085204.1	0.21	0.09	0.11	0.3	0.09	0.08	0.09	0.08	0.0	0.15	0.0	Gm15327	chr13	processed_transcript	predicted gene 15327
ENSMUSG00000022362.11	1.99	2.26	2.21	1.41	1.78	1.65	1.98	1.88	2.1	1.6	1.82	Gm29394	chr15	protein_coding	predicted gene 29394
ENSMUSG00000098041.1	0.14	0.05	0.08	0.03	0.01	0.05	0.07	0.1	0.0	0.04	0.08	Gm26981	chr7	lincRNA	predicted gene, 26981
ENSMUSG00000036023.5	5.07	4.87	4.92	4.65	4.82	4.61	5.4	5.53	4.51	4.6	5.76	Parp2	chr14	protein_coding	poly (ADP-ribose) polymerase family, member 2
ENSMUSG00000061669.6	0.0	0.12	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.11	Gm6404	chr13	processed_pseudogene	predicted gene 6404
ENSMUSG00000103366.1	0.23	0.16	0.16	0.14	0.06	0.06	0.13	0.06	0.1	0.06	0.13	C630004L07Rik	chr4	TEC	RIKEN cDNA C630004L07 gene
ENSMUSG00000027107.3	0.0	0.01	0.0	0.03	0.01	0.05	0.04	0.01	0.01	0.0	0.01	Chrna1	chr2	protein_coding	cholinergic receptor, nicotinic, alpha polypeptide 1 (muscle)
ENSMUSG00000090841.1	166.3	205.95	202.38	128.18	236.73	222.29	132.65	159.71	129.97	197.7	258.86	Myl6	chr10	protein_coding	myosin, light polypeptide 6, alkali, smooth muscle and non-muscle
ENSMUSG00000091102.1	0.01	0.0	0.0	0.03	0.01	0.0	0.01	0.0	0.02	0.01	0.0	5830462I19Rik	chr9	TEC	RIKEN cDNA 5830462I19 gene
ENSMUSG00000054256.9	0.06	0.01	0.05	0.04	0.05	0.06	0.05	0.09	0.11	0.1	0.06	Msi1	chr5	protein_coding	musashi RNA-binding protein 1
ENSMUSG00000074508.4	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	Gm10706	chr9	antisense	predicted gene 10706
ENSMUSG00000102162.1	0.0	0.09	0.11	0.0	0.09	0.16	0.0	0.16	0.0	0.0	0.09	Gm2367	chr1	processed_pseudogene	predicted gene 2367
ENSMUSG00000105834.1	0.22	0.38	0.08	0.21	0.06	0.06	0.13	0.17	0.13	0.05	0.0	RP23-210I6.1	chr3	antisense	--
ENSMUSG00000019189.11	2.55	3.44	3.08	1.74	2.2	3.0	2.59	3.72	1.96	2.33	2.67	Rnf145	chr11	protein_coding	ring finger protein 145
ENSMUSG00000086837.1	0.41	0.26	0.16	0.1	0.04	0.12	0.49	0.4	0.22	0.0	0.17	Gm16618	chr16	processed_transcript	predicted gene, 16618
ENSMUSG00000038128.6	0.03	0.02	0.04	0.03	0.0	0.02	0.02	0.02	0.02	0.02	0.02	Camk4	chr18	protein_coding	calcium/calmodulin-dependent protein kinase IV
ENSMUSG00000021546.15	38.34	49.22	47.48	45.8	47.95	42.07	45.31	41.83	44.18	49.64	49.18	Hnrnpk	chr13	protein_coding	heterogeneous nuclear ribonucleoprotein K
ENSMUSG00000055322.12	96.18	111.04	87.49	113.39	72.73	75.44	134.26	108.71	119.88	100.39	80.47	Tns1	chr1	protein_coding	tensin 1
ENSMUSG00000104519.1	0.02	0.0	0.0	0.03	0.0	0.01	0.05	0.0	0.0	0.0	0.01	Gm37161	chr1	TEC	predicted gene, 37161
ENSMUSG00000049285.4	0.6	1.22	0.7	0.46	0.69	0.76	0.62	0.65	1.11	0.86	1.05	Mblac1	chr5	protein_coding	metallo-beta-lactamase domain containing 1
ENSMUSG00000065158.1	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Gm25483	chr13	snoRNA	predicted gene, 25483
ENSMUSG00000045078.10	4.74	6.29	6.14	5.35	5.21	5.39	6.0	6.06	5.64	5.68	6.33	Rnf216	chr5	protein_coding	ring finger protein 216
ENSMUSG00000044320.12	0.09	0.0	0.09	0.19	0.05	0.0	0.15	0.07	0.12	0.0	0.12	1700001O22Rik	chr2	protein_coding	RIKEN cDNA 1700001O22 gene
ENSMUSG00000039067.4	53.1	59.9	53.75	46.81	53.77	52.65	49.26	59.61	51.65	47.53	56.83	Psmd7	chr8	protein_coding	proteasome (prosome, macropain) 26S subunit, non-ATPase, 7
ENSMUSG00000079477.7	75.3	82.71	73.59	76.53	67.63	73.05	82.59	77.84	67.13	70.13	71.01	Rab7	chr6	protein_coding	RAB7, member RAS oncogene family
ENSMUSG00000090086.5	1.25	0.5	0.46	0.54	0.17	0.6	1.13	1.23	0.25	0.22	0.62	AI480526	chr5	lincRNA	expressed sequence AI480526
ENSMUSG00000027350.8	0.04	0.03	0.06	0.02	0.09	0.05	0.08	0.03	0.14	0.04	0.07	Chgb	chr2	protein_coding	chromogranin B
ENSMUSG00000045053.1	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Kcng3	chr17	protein_coding	potassium voltage-gated channel, subfamily G, member 3
ENSMUSG00000043885.11	1.73	2.3	2.17	1.92	2.17	1.78	1.94	2.08	2.15	2.23	2.05	Slc36a4	chr9	protein_coding	solute carrier family 36 (proton/amino acid symporter), member 4
ENSMUSG00000044824.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	Olfr545	chr7	protein_coding	olfactory receptor 545
ENSMUSG00000068284.12	1.61	2.14	1.72	1.8	1.29	1.46	2.03	1.94	1.39	1.56	1.51	Gm608	chr16	protein_coding	predicted gene 608
ENSMUSG00000035929.11	14.57	18.18	14.29	15.3	37.56	24.11	9.65	14.93	18.43	21.58	22.94	H2-Q4	chr17	protein_coding	histocompatibility 2, Q region locus 4
ENSMUSG00000031432.3	9.91	12.29	11.38	11.4	11.33	10.32	10.0	11.01	10.86	11.14	11.29	Prps1	chrX	protein_coding	phosphoribosyl pyrophosphate synthetase 1
ENSMUSG00000044252.15	7.82	8.84	10.3	10.1	8.93	8.7	10.05	9.46	8.91	8.61	9.87	Osbpl1a	chr18	protein_coding	oxysterol binding protein-like 1A
ENSMUSG00000006651.7	1.59	1.64	1.42	1.26	1.73	1.7	1.25	0.77	1.83	1.27	1.55	Aplp1	chr7	protein_coding	amyloid beta (A4) precursor-like protein 1
ENSMUSG00000085111.3	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	Ascl4	chr10	protein_coding	achaete-scute complex homolog 4 (Drosophila)
ENSMUSG00000086606.1	0.35	0.22	0.27	0.25	0.44	0.53	0.15	0.2	0.07	0.25	0.21	Gm13205	chr4	antisense	predicted gene 13205
ENSMUSG00000046873.16	1.3	1.65	1.66	1.6	1.29	1.51	1.8	1.7	1.57	1.49	1.6	Mbtps2	chrX	protein_coding	membrane-bound transcription factor peptidase, site 2
ENSMUSG00000105466.1	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.03	0.0	RP23-246L14.2	chr3	TEC	--
ENSMUSG00000019832.3	0.51	0.9	1.21	0.88	1.48	1.09	0.69	1.13	1.06	1.04	1.09	Rab32	chr10	protein_coding	RAB32, member RAS oncogene family
ENSMUSG00000105137.1	0.05	0.0	0.05	0.07	0.0	0.09	0.0	0.0	0.0	0.03	0.02	RP23-267O21.4	chr3	sense_intronic	--
ENSMUSG00000015484.3	0.0	0.03	0.0	0.0	0.03	0.01	0.0	0.02	0.06	0.02	0.01	Fam163a	chr1	protein_coding	family with sequence similarity 163, member A
ENSMUSG00000078862.8	2.76	3.47	3.55	3.08	2.94	3.63	3.36	3.7	2.48	2.91	2.53	Gm14326	chr2	protein_coding	predicted gene 14326
ENSMUSG00000030666.9	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.03	0.0	Calcb	chr7	protein_coding	calcitonin-related polypeptide, beta
ENSMUSG00000018415.12	11.41	15.12	15.27	12.52	11.74	12.93	15.14	14.39	16.57	12.82	15.76	Gid4	chr11	protein_coding	GID complex subunit 4, VID24 homolog (S. cerevisiae)
ENSMUSG00000028563.14	26.31	29.78	28.56	26.53	24.59	26.16	29.41	28.64	25.73	24.62	29.59	Tm2d1	chr4	protein_coding	TM2 domain containing 1
ENSMUSG00000104591.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.06	RP24-142B15.10	chr5	TEC	--
ENSMUSG00000015605.5	26.21	26.98	27.83	27.89	34.56	36.3	33.6	23.35	43.3	37.71	37.0	Srf	chr17	protein_coding	serum response factor
ENSMUSG00000065694.1	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	Gm25411	chr1	snRNA	predicted gene, 25411
ENSMUSG00000034088.13	59.46	67.88	63.46	80.8	67.89	65.75	80.72	72.45	79.56	69.95	64.49	Hdlbp	chr1	protein_coding	high density lipoprotein (HDL) binding protein
ENSMUSG00000071332.9	0.0	0.0	0.02	0.03	0.0	0.05	0.0	0.01	0.03	0.01	0.0	E230015B07Rik	chr6	processed_transcript	RIKEN cDNA E230015B07 gene
ENSMUSG00000101903.1	0.0	0.37	0.37	0.0	0.06	0.22	0.19	0.11	0.12	0.05	0.0	Gm29291	chr1	lincRNA	predicted gene 29291
ENSMUSG00000093904.1	14.5	17.99	15.53	12.23	15.41	15.89	14.09	15.01	12.67	15.16	16.6	Tomm20	chr8	protein_coding	translocase of outer mitochondrial membrane 20 homolog (yeast)
ENSMUSG00000036925.6	0.08	0.0	0.08	0.07	0.06	0.06	0.0	0.12	0.0	0.0	0.0	Spt1	chr15	protein_coding	salivary protein 1
ENSMUSG00000018974.5	4.05	3.67	3.85	3.2	3.83	3.71	3.75	4.28	3.68	3.48	4.13	Sart3	chr5	protein_coding	squamous cell carcinoma antigen recognized by T cells 3
ENSMUSG00000086782.2	3.19	1.25	1.51	1.81	1.88	1.15	1.15	2.48	1.12	2.24	1.96	E130102H24Rik	chr4	lincRNA	RIKEN cDNA E130102H24 gene
ENSMUSG00000097915.1	1.42	1.63	1.79	0.56	1.12	0.98	0.95	1.24	0.8	0.94	1.1	A330009N23Rik	chr15	lincRNA	RIKEN cDNA A330009N23 gene
ENSMUSG00000048473.13	0.0	0.0	0.0	0.0	0.05	0.08	0.0	0.04	0.09	0.0	0.0	Gm766	chr6	protein_coding	predicted gene 766
ENSMUSG00000025758.8	0.39	0.49	0.34	0.36	0.31	0.29	0.41	0.48	0.43	0.33	0.37	Plk4	chr3	protein_coding	polo-like kinase 4
ENSMUSG00000035735.8	0.67	0.76	0.69	0.78	0.46	0.75	0.88	0.73	0.95	0.69	1.05	Dagla	chr19	protein_coding	diacylglycerol lipase, alpha
ENSMUSG00000020654.13	0.78	1.15	1.05	0.67	1.13	1.21	0.94	1.01	1.16	1.04	1.19	Adcy3	chr12	protein_coding	adenylate cyclase 3
ENSMUSG00000025528.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	2010106E10Rik	chrX	protein_coding	RIKEN cDNA 2010106E10 gene
ENSMUSG00000097107.1	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	Platr6	chr10	lincRNA	pluripotency associated transcript 6
ENSMUSG00000096974.1	2.75	0.99	1.12	1.17	1.11	1.44	0.79	1.1	1.26	1.43	1.43	Gm26881	chr4	lincRNA	predicted gene, 26881
ENSMUSG00000083734.1	0.39	0.34	0.16	0.22	0.13	0.12	0.34	0.31	0.2	0.06	0.19	Gm16209	chr8	processed_pseudogene	predicted gene 16209
